Run,Activation,Optimizer,Dropout,L1_reg,L2_reg,Val_Accuracy,Val_Loss,Test_Accuracy,Test_Loss
1,LeakyReLU,adam,0.5,,,0.924833357334137,0.21336020529270172,0.9164000153541565,0.2407883256673813
37,LeakyReLU,rmsprop,,,,0.9241666793823242,0.23901833593845367,0.906000018119812,0.26488950848579407
46,LeakyReLU,rmsprop,0.3,,,0.9226666688919067,0.23319032788276672,0.9165999889373779,0.2594834566116333
19,LeakyReLU,sgd,0.3,,,0.9158333539962769,0.23539194464683533,0.9088000059127808,0.25579148530960083
10,LeakyReLU,sgd,,,,0.9151666760444641,0.24459432065486908,0.9060999751091003,0.26405397057533264
11,LeakyReLU,sgd,,,0.001,0.9143333435058594,0.5205249190330505,0.9042999744415283,0.5382791757583618
2,LeakyReLU,adam,0.5,,0.001,0.9136666655540466,0.4015892446041107,0.9039999842643738,0.4207150936126709
28,LeakyReLU,sgd,0.5,,,0.9135000109672546,0.23633548617362976,0.9038000106811523,0.2583799362182617
47,LeakyReLU,rmsprop,0.3,,0.001,0.9131666421890259,0.36973318457603455,0.9032999873161316,0.3963187634944916
20,LeakyReLU,sgd,0.3,,0.001,0.9123333096504211,0.5262935161590576,0.9042999744415283,0.5434015393257141
38,LeakyReLU,rmsprop,,,0.001,0.9110000133514404,0.3629492521286011,0.8999000191688538,0.3890381455421448
29,LeakyReLU,sgd,0.5,,0.001,0.9075000286102295,0.5296585559844971,0.8996000289916992,0.5473189949989319
12,LeakyReLU,sgd,,,0.005,0.8981666564941406,0.4798114001750946,0.8930000066757202,0.49937281012535095
21,LeakyReLU,sgd,0.3,,0.005,0.8955000042915344,0.5237008333206177,0.8664000034332275,0.549903392791748
48,LeakyReLU,rmsprop,0.3,,0.005,0.8951666951179504,0.4313591718673706,0.8831999897956848,0.4632778763771057
39,LeakyReLU,rmsprop,,,0.005,0.8933333158493042,0.4300425350666046,0.8813999891281128,0.45351094007492065
30,LeakyReLU,sgd,0.5,,0.005,0.8930000066757202,0.5013591051101685,0.8871999979019165,0.5217916965484619
3,LeakyReLU,adam,0.5,,0.005,0.8848333358764648,0.49493148922920227,0.871999979019165,0.518314003944397
41,LeakyReLU,rmsprop,,0.001,0.001,0.8821666836738586,1.270553708076477,0.8671000003814697,1.2928928136825562
40,LeakyReLU,rmsprop,,0.001,,0.8808333277702332,1.2818714380264282,0.868399977684021,1.299525260925293
13,LeakyReLU,sgd,,0.001,,0.8759999871253967,0.5975111126899719,0.8726000189781189,0.6129176020622253
4,LeakyReLU,adam,0.5,0.001,,0.875166654586792,0.8836575746536255,0.8641999959945679,0.8994323015213013
49,LeakyReLU,rmsprop,0.3,0.001,,0.875,1.3334954977035522,0.8629999756813049,1.3505446910858154
14,LeakyReLU,sgd,,0.001,0.001,0.8709999918937683,0.6321051716804504,0.8565000295639038,0.656769871711731
5,LeakyReLU,adam,0.5,0.001,0.001,0.8706666827201843,0.8831384181976318,0.8547000288963318,0.9139349460601807
42,LeakyReLU,rmsprop,,0.001,0.005,0.8698333501815796,1.326624870300293,0.8582000136375427,1.353671669960022
23,LeakyReLU,sgd,0.3,0.001,0.001,0.8693333268165588,0.6524404287338257,0.8575000166893005,0.6786462068557739
50,LeakyReLU,rmsprop,0.3,0.001,0.001,0.8678333163261414,1.3699729442596436,0.8532000184059143,1.4046528339385986
32,LeakyReLU,sgd,0.5,0.001,0.001,0.8669999837875366,0.6846573948860168,0.8568000197410583,0.7063867449760437
22,LeakyReLU,sgd,0.3,0.001,,0.8658333420753479,0.6668956875801086,0.8572999835014343,0.6908654570579529
51,LeakyReLU,rmsprop,0.3,0.001,0.005,0.8640000224113464,1.395635724067688,0.849399983882904,1.4123495817184448
24,LeakyReLU,sgd,0.3,0.001,0.005,0.8638333082199097,0.6620025038719177,0.8501999974250793,0.6892642378807068
31,LeakyReLU,sgd,0.5,0.001,,0.8619999885559082,0.7070704698562622,0.8393999934196472,0.7305765151977539
15,LeakyReLU,sgd,,0.001,0.005,0.859333336353302,0.6324546933174133,0.8490999937057495,0.6606315970420837
33,LeakyReLU,sgd,0.5,0.001,0.005,0.8535000085830688,0.7091922163963318,0.8407999873161316,0.7373120784759521
6,LeakyReLU,adam,0.5,0.001,0.005,0.8461666703224182,0.8955366015434265,0.8337000012397766,0.9213249087333679
45,LeakyReLU,rmsprop,,0.005,0.005,0.8383333086967468,4.725183010101318,0.8274999856948853,4.748150825500488
44,LeakyReLU,rmsprop,,0.005,0.001,0.8364999890327454,4.723325252532959,0.8305000066757202,4.741138458251953
18,LeakyReLU,sgd,,0.005,0.005,0.8343333601951599,0.9692386984825134,0.8155999779701233,1.0011988878250122
17,LeakyReLU,sgd,,0.005,0.001,0.8316666483879089,0.9991664290428162,0.8023999929428101,1.0233285427093506
16,LeakyReLU,sgd,,0.005,,0.8296666741371155,0.9617815613746643,0.8051999807357788,0.9908820390701294
7,LeakyReLU,adam,0.5,0.005,,0.8245000243186951,1.8226412534713745,0.8141000270843506,1.8428022861480713
25,LeakyReLU,sgd,0.3,0.005,,0.8220000267028809,1.072952389717102,0.8073999881744385,1.0956369638442993
9,LeakyReLU,adam,0.5,0.005,0.005,0.8203333616256714,1.8483014106750488,0.8108999729156494,1.873671054840088
43,LeakyReLU,rmsprop,,0.005,,0.8201666474342346,4.82693338394165,0.8083999752998352,4.854480266571045
35,LeakyReLU,sgd,0.5,0.005,0.001,0.8191666603088379,1.0917547941207886,0.8068000078201294,1.1114623546600342
8,LeakyReLU,adam,0.5,0.005,0.001,0.8176666498184204,1.8375474214553833,0.7954000234603882,1.8574739694595337
26,LeakyReLU,sgd,0.3,0.005,0.001,0.8163333535194397,1.0320276021957397,0.8047000169754028,1.0607784986495972
34,LeakyReLU,sgd,0.5,0.005,,0.8159999847412109,1.137437343597412,0.8069000244140625,1.1577247381210327
27,LeakyReLU,sgd,0.3,0.005,0.005,0.8098333477973938,1.0748939514160156,0.7964000105857849,1.102415680885315
36,LeakyReLU,sgd,0.5,0.005,0.005,0.8063333630561829,1.1762827634811401,0.7885000109672546,1.202042579650879
